audio,label
-4,1
-1,1
2,1
3,1
0,1
-4,1
-5,1
-9,1
-10,1
-5,1
-6,1
-11,1
-18,1
-19,1
-21,1
-22,1
-20,1
-14,1
-17,1
-21,1
-23,1
50,1
45,1
38,1
36,1
38,1
39,1
41,1
45,1
43,1
41,1
41,1
45,1
48,1
50,1
52,1
53,1
49,1
51,1
45,1
40,1
39,1
40,1
39,1
39,1
39,1
38,1
37,1
34,1
31,1
25,1
19,1
19,1
22,1
22,1
19,1
24,1
18,1
15,1
14,1
11,1
7,1
9,1
10,1
12,1
16,1
10,1
9,1
3,1
2,1
-2,1
-4,1
-2,1
1,1
3,1
3,1
1,1
1,1
2,1
-1,1
-6,1
-8,1
-7,1
-1,1
-3,1
-6,1
-5,1
-2,1
0,1
-1,1
-6,1
-11,1
-9,1
-11,1
-14,1
-11,1
-7,1
-2,1
-10,1
-6,1
-4,1
-7,1
-5,1
-5,1
-10,1
-12,1
-18,1
-23,1
-25,1
-25,1
-23,1
-19,1
-14,1
-12,1
-14,1
-18,1
-22,1
-22,1
-22,1
-24,1
-22,1
-24,1
-28,1
-19,1
-17,1
-21,1
-22,1
-17,1
-15,1
-13,1
-13,1
-13,1
-14,1
-16,1
-15,1
-14,1
-10,1
-9,1
-7,1
-8,1
-10,1
-7,1
-6,1
-7,1
-5,1
-7,1
-6,1
-7,1
-5,1
-2,1
1,1
3,1
8,1
4,1
7,1
5,1
3,1
8,1
7,1
3,1
3,1
0,1
-2,1
-4,1
-1,1
1,1
0,1
3,1
5,1
7,1
8,1
8,1
5,1
8,1
12,1
8,1
8,1
12,1
10,1
11,1
12,1
16,1
17,1
19,1
20,1
17,1
18,1
13,1
11,1
10,1
12,1
14,1
12,1
16,1
15,1
14,1
13,1
17,1
17,1
15,1
18,1
19,1
19,1
22,1
26,1
23,1
27,1
24,1
25,1
22,1
28,1
21,1
45,1
54,1
24,1
32,1
34,1
26,1
25,1
27,1
54,1
42,1
23,1
33,1
17,1
29,1
34,1
41,1
57,1
38,1
21,1
16,1
15,1
20,1
24,1
36,1
43,1
47,1
48,1
41,1
36,1
